N,P,K,temperature,humidity,ph,rainfall,label
65.9,28.7,32.3,37.5,86.8,6.65,1550.6,Jute
99.4,57.4,49.4,12.6,53.4,7.67,454.6,Wheat
157.1,76.6,87.6,20.2,81.1,6.27,565.7,Broccoli
33.1,46.3,28.7,24.7,67.7,7.12,537.6,Urad Dal
28,40.6,24.5,29.5,66.5,6.3,897.4,Arhar Dal
32.6,45,47.8,12.3,58.3,6.4,424.6,Pea
222.2,75.5,117.3,32.7,80.5,7.3,1628.4,Sugarcane
25.2,46.5,21.3,30.7,59.8,5.94,969.5,Arhar Dal
56.1,43.1,164.6,22.6,64.9,5.51,979.5,Sweet Potato
35.9,46,54.7,10.6,58.9,7.4,388.5,Field Pea
37.3,20.2,23.8,31.8,55.4,6.24,558.8,Sesame
83,43.5,154.9,30,84.3,5.93,1937,Coconut
67.6,53.2,65.5,25.8,65.6,5.37,590,Cucumber
17.5,57.1,19.5,17.7,51.6,7.06,353.9,Lentil
52.9,29,29.2,32.6,33.9,7.57,345.6,Pearl Millet
74.4,45.2,47.1,21.2,69.1,7.16,541.2,Spinach
140.2,50.1,98.5,19,77.8,5.13,1680.4,Tea
28.6,44.6,33.2,24.7,47.9,6.25,469.2,Chickpea
46.9,23.3,104.6,26.3,81.5,4.55,1551.6,Pineapple
59.1,42.4,46.4,29.7,51.5,7.24,581.7,Jowar
62,43.1,125.8,27,67.5,5.23,658.4,Sweet Potato
96,50.8,59.1,16.6,66.1,7.1,579.4,Cabbage
99.2,52.6,77.4,21.5,53,6.54,596.7,Onion
57.4,25.6,41.9,34.3,53,6.15,566.7,Sesame
85.5,45.9,69.6,35.5,65,6.59,921.1,Bitter Gourd
82,33.2,47.9,29.3,66.4,6.07,1091,Amaranthus
101.6,44.2,56.8,13.5,55.7,6.92,709.3,Garlic
41.4,29.1,39.9,26.5,39.1,7.05,244,Fennel
83.6,48.1,71.6,11.4,63.8,7.08,580,Cauliflower
87,61.3,107.2,26.7,73.7,6.03,1519.1,Turmeric
128.8,52.6,64.1,25,72.2,5.99,1013.2,Rice
102.2,51.2,118.8,30.2,74.1,6.41,2191.6,Taro
