ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Best Soil Types
1,Vanilla,86.1,52.2,98.4,27.15,2408,82.4,6.43,Red
2,Pear,121.6,71.2,101.1,1.64,1026.5,70.1,6.65,Forest
3,Tomato,110.4,86.8,118.3,18.8,705.3,74.3,6.48,Alluvial
4,Tea,137.5,41.7,67.8,25.11,2846.7,76.3,4.55,Laterite
5,Kiwi,125.3,76.6,129.9,18.75,1335,61.4,5.53,Mountain
6,Isabgol,49,35.6,32.8,28.86,205.2,50.5,7.09,Sandy Loam
7,Amla,86.7,40,48.3,41.24,967.1,58.9,7.35,Saline
8,Green Gram,21.5,42.4,22.1,32.17,601.7,66.3,7.06,Alluvial
9,Ashwagandha,47.6,47.7,33.1,23.42,633.1,48.4,8.43,Red
10,Cocoa,136.6,64.6,109.2,28.98,2271.1,80.6,6.15,Red
11,Coriander,74.7,43.1,44.5,16.43,681,73.8,7.05,Alluvial
12,Vanilla,94,59.6,91.4,29.2,2568.7,90.6,5.16,Forest
13,Karakunda,79.1,46.3,59.5,27.72,1669.8,83.4,6.4,Mountain
14,Rubber,102.6,79.2,86.2,28.56,2389.3,75.2,5.93,Red
15,Karakunda,61.5,57.9,51.5,22.01,1468.4,74.7,7.13,Forest
16,Bottle Gourd,62.9,45.1,75.3,33.7,523,71.6,6.32,Red
17,Dragon Fruit,68.3,54.5,89.4,27.14,910.9,61.9,6.94,Sandy
18,Sunn Hemp,29.8,52.8,30.3,27.94,989.4,50.4,6.67,Sandy
19,Oats,99.4,47.3,47.2,23.06,693.1,68.4,5.95,Loamy
20,Clove,94.1,49.3,96.5,24.65,3391.4,82.6,6.47,Laterite
21,Neem,41.1,23.7,55.8,26.5,861.5,67.2,7.23,Red
22,Watermelon,67.2,65,93.1,26.29,498.8,52.3,6.76,Sandy
23,Lettuce,81.3,59.1,53,14.39,490.3,60.2,6.15,Loamy
24,Stevia,96.7,63,70.7,20.98,1561.7,70.8,6.48,Alluvial
25,Muskmelon,71.1,72,95.6,33.38,403.9,54.8,6.45,Alluvial
26,Guava,89.9,58.5,81.9,30,1095.1,65.6,7.16,Alluvial
27,Bottle Gourd,65.4,44.9,65.5,28.31,661.7,61.6,6.53,Red
28,Foxtail Millet,47.8,26.3,25.6,24.82,512.6,42.8,6.19,Red
29,Rapeseed,93.2,41.6,38.9,20.11,543.8,63.9,6.74,Loamy
30,Foxtail Millet,53.6,27.4,28.6,26.38,733.3,47.9,7.48,Alluvial
31,Barley,67.8,37.4,26.9,10.71,637.4,53.7,7.24,Loamy
32,Little Millet,39.6,23.5,20.9,26.92,432.8,41.1,6.51,Gravelly
33,Pear,134.8,73.8,107.9,24.33,800.2,62.9,6.3,Forest
34,Curry Leaves,67,49.6,68.2,30.29,1481.6,60.5,6.31,Red
35,Litchi,124.9,68,96.8,25.54,1450.9,69.1,6.79,Alluvial
36,Coffee,143.7,59,101.8,22.41,1531.7,77.3,5.06,Forest
37,Litchi,113.9,62,80.5,31.48,1414.6,66.3,6.51,Loamy
38,Broccoli,129.6,91.9,83.7,12.63,516.1,79.4,6.89,Loamy
39,Amaranth,54.5,35.2,37.4,28.92,747,56,6.26,Alluvial
40,Banana,235.8,80.5,218.4,25.98,2354,84.1,7.79,Alluvial
41,Opium Poppy,86.3,75.7,75.2,9.83,581.3,63.9,6.07,Alluvial
42,Rubber,119.7,72.5,98,33.76,3968,75.5,5.62,Forest
43,Amla,67.2,54.8,44,41.67,712.7,52.9,8.18,Saline
44,Guar Seed,23.2,56,26.3,32.67,364.1,47.4,7.72,Arid/Desert
45,Kiwi,121.1,78.3,100.2,3.47,1368.9,62.3,5.84,Mountain
46,Amaranth,68.2,33.1,36.8,25.43,568.4,52.7,6.12,Alluvial
47,Turmeric,149.6,58.4,130,24.58,1601.9,71.3,6.07,Alluvial
48,Spinach,93.7,47.7,41.3,3.4,582.2,73.1,7.31,Alluvial
49,Aloe Vera,33.9,29.9,20.5,36.96,230,50.7,7.08,Arid
50,Mentha,130.5,52.8,58.7,22.79,1241.8,79.9,6.93,Peaty
51,Barnyard Millet,32.1,23.6,23.6,28.35,790.1,56.3,5.98,Forest
52,Tamarind,56,40.4,67.7,36.75,982.8,57.3,6.26,Red
53,Ridge Gourd,77.2,51.6,64.7,23.8,706.1,70.8,6.35,Alluvial
54,Apricot,103,71.9,106,21.51,889,52,6.77,Mountain
55,Tomato,143.1,80.1,108.2,19.68,831.9,72.1,6.41,Red
56,Neem,48.1,38.8,49.7,36.83,1161.9,65.3,7.02,Saline
57,Toria,71.4,45,30,11.83,406.9,56.3,6.37,Loamy
58,Guar Seed,20.4,53.8,24.4,25.91,455.9,47.8,8.08,Sandy
59,Hemp (Mesta),68.6,36.6,44.5,23.77,986.6,83,7.24,Alluvial
60,Star Anise,63.3,46.3,45.8,23.58,1721.4,74,5.99,Sub-Montane
61,Jackfruit,117.5,56.2,112,32.8,1972.9,83.5,6.68,Alluvial
62,Fennel,88.6,41.9,53.5,25.33,537.3,58.2,6.76,Saline
63,Betel Vine,154.2,104.9,100.8,24,1703.9,78.3,6.7,Clayey
64,Cotton,101.4,61.8,54.5,26.43,717.7,58.8,6.59,Black (Regur)
65,Taramira,44.5,38,28.3,25.61,374.6,47.2,7.15,Arid/Desert
66,Vanilla,94.8,40.4,87.5,23.1,2073.9,77.6,5.03,Laterite
67,Coconut,181.9,300,1,31.22,1854.1,84.8,7.9,Sandy
68,Plum,101.8,75.6,88.8,-1.39,706.4,71.7,5.84,Mountain
69,Wood Apple,51,39.9,45.7,24.7,719.2,40.5,6.76,Saline
70,Fennel,96.1,50.2,53,20.71,629.8,60.6,7.24,Saline
71,Tomato,124.5,97.2,101.4,19.43,638.4,69.7,6.1,Red
72,Toria,64.1,46.7,39.6,19.85,496.9,52.2,6.93,Alluvial
73,Kiwi,143.8,60.9,143,23.05,1309.2,76.2,5.55,Sub-Montane
74,Guava,65.7,47.1,76.2,25.23,1551.6,56.4,5.89,Alluvial
75,Garlic,114.3,56.9,80.9,23.08,821.5,72.2,6.6,Alluvial
76,Wood Apple,59.6,42.2,42.8,22.25,400.6,52.2,7.73,Saline
77,Banana,160,61.9,234.7,29.29,2615.2,86.2,7.68,Alluvial
78,Sweet Corn,145.4,69.6,53.8,21.55,920.3,69.3,5.87,Alluvial
79,Neem,44.8,20,52.4,42.55,899.7,65.4,8.4,Sandy
80,Cotton,102.5,74.1,64.4,32.53,604.6,45.9,7.87,Laterite
81,Pigeon Pea,46.6,66,33.8,24.97,933,65.5,6.94,Alluvial
82,Cashew Nut,70.9,38,47.8,21.01,2092.8,67.9,5.93,Laterite
83,Sunflower,82.6,61.3,58.7,22.47,670,73.6,7.91,Black
84,Star Anise,76.7,56.9,46.7,23.1,1573.5,72.1,5.94,Forest
85,Ragi,76.6,38.6,38.5,20.67,778.8,68.9,6.67,Loamy
86,Chili,111.2,65.4,61.8,30.7,1168.7,74.4,7.16,Black
87,Amla,82.9,57.9,40.2,27.35,854.4,49.6,6.6,Alluvial
88,Cluster Bean,27.2,50.1,29.1,26.73,339,39.9,7.08,Alluvial
89,Apple,184.7,139.4,182.5,0.24,949.8,61.7,6.76,Mountain
90,Neem,49.6,24.6,40.5,30.3,933.9,52.9,7.59,Sandy
91,Stevia,97.2,71.6,79.5,25.58,1230.8,87.8,6.31,Loamy
92,Green Gram,20,44.5,24.3,27.88,544.3,63.1,7.21,Loamy
93,Coriander,73.8,44.6,46.2,17.84,685.6,69.2,7.47,Black
